REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.19
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,2.12
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.14
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,0.0
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,0.0
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,0.0
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,0.0
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,0.0
POL,Poland,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,0.0
PRT,Portugal,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,2.9
PRT,Portugal,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,5.5
PRT,Portugal,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,0.2
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,2.42
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2024,0.02
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2024,2.4
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,2.24
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2024,0.02
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2024,2.22
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.17
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2024,0.0
ROU,Romania,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2024,0.17
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,3.015
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,5.026
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.207
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2024,3.793
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2024,2.899
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2024,7.599
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2024,4.933
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2024,0.0
ARG,Argentina,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2024,0.217
CHL,Chile,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,3.058
CHL,Chile,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2018,4.637
CHL,Chile,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2018,0.545
COL,Colombia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,18.04
MEX,Mexico,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,7.69
MEX,Mexico,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2021,10.64
MEX,Mexico,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2021,3.04
URY,Uruguay,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,3.73
USA,United States of America,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,3.5
USA,United States of America,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,5.7
USA,United States of America,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.7
AUS,Australia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.416
AUS,Australia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,2.557
AUS,Australia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.149
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,5.31
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2016,5.26
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,5.19
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,5.09
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,4.57
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,4.65
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,4.27
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,4.33
KOR,Republic of Korea,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,3.93
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,14.58
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2022,21.15
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2022,3.9
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2022,16.82
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2022,26.36
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2022,4.12
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2022,3.73
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2022,4.24
MYS,Malaysia,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2022,0.84
PHL,Philippines,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,5.35
PHL,Philippines,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,3.2
SGP,Singapore,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2015,1.9
ISR,Israel,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.624
ISR,Israel,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,3.367
ISR,Israel,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2020,0.05
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2024,11.47
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2024,8.61
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2024,11.52
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2024,16.97
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2024,11.8
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2024,17.05
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2024,0.95
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2024,1.34
TUR,Türkiye,A,Annual,INJ_FATL_RT,Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2024,0.94
