REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,MIG,MIG_LABEL,TIME_PERIOD,VALUE
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,1.33
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,1.34
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,1.42
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,1.33
DNK,Denmark,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.03
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2023,1.028
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2023,0.0
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2023,1.097
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2023,1.941
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2023,0.0
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2023,2.091
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2023,0.078
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_MIGRANT,Migrants,2023,0.0
FIN,Finland,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_NONMIG,Non migrants,2023,0.082
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2017,1.29
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2018,1.45
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2019,0.92
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2020,0.88
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2021,0.58
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_TOTAL,Total,2022,0.62
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_MIGRANT,Migrants,2016,3.07
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_T,Total,MIG_STATUS_NONMIG,Non migrants,2016,0.75
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_TOTAL,Total,2016,1.46
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_MIGRANT,Migrants,2016,5.06
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_M,Male,MIG_STATUS_NONMIG,Non migrants,2016,1.21
GRC,Greece,A,Annual,SDG_F881_RT,SDG 8.8.1: Fatal occupational injuries per 100'000 workers,SEX_F,Female,MIG_STATUS_TOTAL,Total,2016,0.13
