REF_AREA,REF_AREA_LABEL,FREQ,FREQ_LABEL,MEASURE,MEASURE_LABEL,SEX,SEX_LABEL,CBR,CBR_LABEL,TIME_PERIOD,VALUE
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_NATIVE,Native-born,2024,23888.163
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_FOREIGN,Foreign-born,2024,6577.746
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_TOTAL,Total,2024,14420.397
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_NATIVE,Native-born,2024,11102.298
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_FOREIGN,Foreign-born,2024,3318.099
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_TOTAL,Total,2024,16045.512
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_NATIVE,Native-born,2024,12785.865
USA,United States of America,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_FOREIGN,Foreign-born,2024,3259.647
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_TOTAL,Total,2024,2290.85
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_NATIVE,Native-born,2024,1288.416
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_FOREIGN,Foreign-born,2024,1002.328
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_TOTAL,Total,2024,1224.041
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_NATIVE,Native-born,2024,672.426
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_FOREIGN,Foreign-born,2024,551.546
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_TOTAL,Total,2024,1066.81
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_NATIVE,Native-born,2024,615.99
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_FOREIGN,Foreign-born,2024,450.782
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_X,Status unknown,2024,0.106
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_X,Status unknown,2024,0.069
AUS,Australia,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_X,Status unknown,2024,0.038
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_TOTAL,Total,2024,769.536
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_NATIVE,Native-born,2024,570.186
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_T,Total,CBR_BIR_FOREIGN,Foreign-born,2024,199.349
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_TOTAL,Total,2024,444.088
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_NATIVE,Native-born,2024,336.854
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_M,Male,CBR_BIR_FOREIGN,Foreign-born,2024,107.234
ISR,Israel,A,Annual,EMP_STEM_NB,Employment in STEM occupations (previous ILO definition),SEX_F,Female,CBR_BIR_TOTAL,Total,2024,325.447
