job_title_original,SEX_F,SEX_M,male_count,female_count,total,male_pct,female_pct
Property Manager,6600.304,11837.514,11837.514,6600.304,18437.818,0.6420235843525519,0.3579764156474481
Psychologist,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Quality Assurance Inspector,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Real Estate Agent,24557.03,22138.776,22138.776,24557.03,46695.806,0.47410630410791077,0.5258936958920893
Receptionist,14040.315,8285.101,8285.101,14040.315,22325.416,0.37110623157033223,0.6288937684296678
Researcher,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Roofer,3331.705,44355.99,44355.99,3331.705,47687.695,0.9301349121613028,0.06986508783869717
Safety Inspector,21764.255,7352.144,7352.144,21764.255,29116.399,0.25250869793342234,0.7474913020665777
Sailor,1881.1,61330.089,61330.089,1881.1,63211.189,0.9702410280559665,0.029758971944033517
Salesperson,19310.343,18576.85,18576.85,19310.343,37887.193,0.4903200403365855,0.5096799596634145
Scientist,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Security Officer,3396.599,28456.007999999998,28456.007999999998,3396.599,31852.606999999996,0.8933651176495538,0.10663488235044624
Shopkeeper,39834.04,43044.372,43044.372,39834.04,82878.41200000001,0.5193677214761305,0.48063227852386936
Singer,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Skier,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Social Worker,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Software Engineer,4655.2029999999995,15311.815999999999,15311.815999999999,4655.2029999999995,19967.019,0.7668553828691203,0.23314461713087964
Soldier,173.545,2451.834,2451.834,173.545,2625.379,0.9338971630381746,0.06610283696182531
Sound Engineer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Statistician,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Street Vendor,359.749,1011.417,1011.417,359.749,1371.1660000000002,0.7376327884442875,0.2623672115557124
Surfer,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Surgeon,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Swimmer,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Tailor,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Tattoo Artist,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Teacher,13577.674,19456.386,19456.386,13577.674,33034.06,0.5889795562519412,0.41102044374805885
Technician,4020.784,22721.184,22721.184,4020.784,26741.968,0.8496451719634097,0.15035482803659028
Tennis Player,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Therapist,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Translator,13368.956,10417.67,10417.67,13368.956,23786.626,0.4379633328408998,0.5620366671591003
Umpire,6700.486,6581.579,6581.579,6700.486,13282.064999999999,0.49552377585864854,0.5044762241413515
Urban Planner,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
Usher,5909.849,16596.003,16596.003,5909.849,22505.852,0.7374083416171048,0.2625916583828953
Veterinarian,20804.166,8092.372,8092.372,20804.166,28896.538,0.2800464194015214,0.7199535805984787
Videographer,7585.9980000000005,22428.266,22428.266,7585.9980000000005,30014.264,0.7472535725013947,0.2527464274986054
